code,name,sector,price,per,pbr,dividend_yield,roe,market_cap_oku_yen,ma25,ma75,rsi14,signal,news_count,news_sentiment,news_label,news_latest
6492,岡野バルブ製造,機械,12030.0,17.573074,1.4557234,0.67,,193.3,16417.2,15652.4,29.3,売られすぎ,0,,,
6493,ＮＩＴＴＡＮ,輸送用機器,462.0,5.9713063,0.42955688,4.33,8.82,133.1,462.6,517.7,45.8,中立,0,,,
6494,ＮＦＫホールディングス,機械,95.0,51.075268,0.79103386,,1.44,46.3,97.0,102.1,44.8,中立,0,,,
6495,宮入バルブ製作所,機械,120.0,95.2381,1.9206761,1.67,10.54,57.8,129.9,155.2,36.2,中立,0,,,
6496,中北製作所,機械,4925.0,9.965802,0.6117757,2.34,6.44,171.9,5215.4,5231.3,43.8,中立,0,,,
6497,ハマイ,機械,1355.0,9.364202,0.5223512,3.32,5.77,90.8,1337.6,1314.3,57.0,中立,0,,,
6498,キッツ,機械,2031.0,15.403868,2.450649,2.95,4.8,1765.4,2390.6,2263.1,31.9,中立,0,,,
6501,日立製作所,電気機器,4957.0,28.080214,3.3958685,1.11,13.3,222292.4,4739.0,4889.6,57.2,中立,2,,,2026-07-29
6503,三菱電機,電気機器,5172.0,26.06855,2.360289,1.16,9.96,105841.7,5742.7,5960.8,34.6,中立,0,,,
6504,富士電機,電気機器,12045.0,18.093464,2.2187946,1.78,12.89,17584.7,13159.2,13712.0,36.0,中立,0,,,
6505,東洋電機製造,電気機器,2328.0,7.060964,0.68609464,4.98,10.26,209.9,2129.2,2165.2,62.1,中立,0,,,
6506,安川電機,電気機器,4629.0,34.14976,2.4752011,1.56,7.51,12006.1,6178.5,6269.0,30.5,デッドクロス,0,,,
6507,シンフォニアテクノロジー,電気機器,11930.0,23.222317,3.403372,1.35,16.2,3366.1,14715.6,14395.9,32.9,中立,0,,,
6508,明電舎,電気機器,7990.0,15.347382,2.0725152,1.96,14.97,3624.6,9212.4,9368.7,33.5,中立,0,,,
6513,オリジン,電気機器,1052.0,,0.24278556,3.8,-7.96,54.4,1072.7,1068.0,41.3,中立,0,,,
6516,山洋電気,電気機器,5140.0,21.066437,1.4277123,3.5,7.18,1825.5,6094.4,6365.7,27.6,売られすぎ,0,,,
6517,デンヨー,電気機器,3600.0,13.021775,0.8879768,3.33,7.12,726.3,3594.8,3613.1,50.3,中立,0,,,
6518,三相電機,電気機器,1779.0,14.31906,0.6460737,1.41,4.64,81.4,1927.3,1832.7,38.5,中立,0,,,
6521,オキサイド,電気機器,2783.0,,6.74863,,-3.95,322.7,4020.3,4798.8,24.7,売られすぎ,0,,,
6522,アスタリスク,電気機器,1632.0,,6.9145803,,-6.83,131.2,1619.6,1193.5,52.9,中立,0,,,
6523,ＰＨＣホールディングス,電気機器,1117.0,289.37823,0.8740999,3.76,0.14,1413.2,1061.3,1049.6,62.5,中立,0,,,
6524,湖北工業,電気機器,3845.0,33.490116,4.1969705,1.04,16.75,996.1,4831.1,5446.2,29.0,売られすぎ,1,,,2026-07-29
6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,電気機器,6049.0,47.040985,6.444746,0.79,14.49,14127.9,9792.8,8280.9,30.2,中立,1,,,2026-07-28
6526,ソシオネクスト,電気機器,2023.0,40.926563,2.6649768,2.47,6.47,3546.1,2548.8,2399.0,32.8,中立,1,,,2026-07-29
6532,ベイカレント,サービス業,7406.0,29.701223,10.097182,1.76,38.58,10936.8,6493.4,5811.0,68.6,中立,0,,,
6533,Ｏｒｃｈｅｓｔｒａ　Ｈｏｌｄｉｎｇｓ,サービス業,1198.0,,1.6997199,4.17,16.56,111.9,1183.4,1073.6,59.1,中立,0,,,
6535,アイモバイル,サービス業,544.0,12.592592,1.7798543,4.96,14.44,299.7,521.2,509.9,64.1,中立,0,,,
6537,ＷＡＳＨハウス,サービス業,302.0,197.38562,1.2471454,,3.24,20.9,310.2,331.3,38.3,中立,0,,,
6538,ディスラプターズ,サービス業,239.0,7.183649,1.8194275,2.09,27.83,48.9,236.4,235.1,53.4,中立,0,,,
6539,ＭＳ－Ｊａｐａｎ,サービス業,1010.0,24.261349,2.6372755,5.54,11.12,251.0,971.1,951.1,71.9,買われすぎ,0,,,
6540,船場,サービス業,1481.0,10.421504,1.1224204,5.27,10.65,158.0,1495.4,1545.9,43.1,中立,0,,,
6543,日宣,サービス業,1190.0,7.014028,1.1578466,2.77,18.18,46.9,1183.4,1176.1,54.5,中立,0,,,
6544,ジャパンエレベーターサービスホールディングス,サービス業,1714.0,41.845703,12.46192,1.23,32.52,3064.0,1745.9,1701.9,48.2,中立,0,,,
6545,インターネットインフィニティー,サービス業,821.0,19.044306,2.4546883,3.05,18.57,43.9,778.8,740.3,64.4,中立,0,,,
6546,フルテック,サービス業,1124.0,24.13571,1.0509082,3.02,5.31,59.4,1131.7,1122.0,48.0,中立,0,,,
6547,グリーンズ,サービス業,2230.0,6.3310905,2.2309012,2.33,41.57,306.3,2122.1,2088.8,64.7,中立,0,,,
6548,旅工房,サービス業,106.0,,2.4508104,,,21.0,97.8,113.0,53.9,中立,0,,,
6549,ディーエムソリューションズ,サービス業,1120.0,10.031348,1.7205544,1.88,12.15,61.8,1133.0,1017.2,49.8,中立,0,,,
6551,ツナググループ・ホールディングス,サービス業,595.0,9.486607,2.2034423,3.36,23.59,49.6,561.7,578.9,73.8,買われすぎ,0,,,
6552,ＧａｍｅＷｉｔｈ,サービス業,170.0,118.05555,1.0952408,,16.22,29.7,184.2,195.7,39.5,中立,0,,,
6554,エスユーエス,サービス業,1034.0,9.160981,2.055,4.84,23.04,92.8,1028.7,1010.7,52.9,中立,0,,,
6555,ＭＳ＆Ｃｏｎｓｕｌｔｉｎｇ,サービス業,419.0,10.415113,0.6423908,,7.09,18.9,423.7,438.7,45.2,中立,0,,,
6557,ＡＩＡＩグループ,サービス業,694.0,7.272346,1.3858907,,20.49,45.0,652.4,778.2,60.4,中立,1,,,2026-07-24
6558,クックビズ,サービス業,695.0,,2.018389,,-23.58,19.4,670.5,667.6,58.9,中立,0,,,
6560,エル・ティー・エス,サービス業,1748.0,11.41812,1.5319786,2.29,16.01,77.0,1778.9,1734.0,47.5,中立,0,,,
6561,ＨＡＮＡＴＯＵＲ　ＪＡＰＡＮ,サービス業,819.0,7.4238577,2.3201528,5.13,35.57,102.8,809.5,792.9,53.0,中立,0,,,
6562,ジーニー,サービス業,975.0,13.751762,1.2085873,,10.04,119.1,963.6,957.4,52.6,中立,0,,,
6563,みらいワークス,サービス業,503.0,23.094582,0.8262277,,11.86,26.3,492.8,523.1,55.0,中立,0,,,
6564,ミダックホールディングス,サービス業,2297.0,22.016678,3.5281901,0.87,17.26,635.8,2117.6,2104.0,72.5,買われすぎ,1,,,2026-07-24
6566,要興業,サービス業,1290.0,12.9609165,0.9825787,2.25,7.82,204.7,1283.4,1296.3,55.4,中立,0,,,
6568,神戸天然物化学,サービス業,1238.0,12.5,1.9823859,2.67,,95.8,1303.2,1268.2,36.4,中立,0,,,
6570,共和コーポレーション,サービス業,2131.0,11.323061,2.1612773,1.88,20.84,127.5,1939.6,1647.6,70.5,買われすぎ,0,,,
6571,キュービーネットホールディングス,サービス業,1327.0,16.065376,1.1777173,3.01,6.78,178.6,1269.4,1269.2,70.5,ゴールデンクロス,0,,,
6572,オープングループ,サービス業,244.0,22.405876,1.2808601,2.66,7.07,136.0,224.6,214.3,61.6,中立,0,,,
6573,ＣＲＡＶＩＡ,サービス業,27.0,,2.0123725,,,12.4,25.6,32.4,51.4,中立,0,,,
6574,コンヴァノ,サービス業,84.0,,3.9234004,1.19,-16.8,418.9,87.7,95.0,42.6,中立,1,,,2026-07-24
6577,ベストワンドットコム,サービス業,2389.0,,3.3670745,2.18,1.86,36.1,2301.9,2077.1,70.4,買われすぎ,0,,,
6578,コレックホールディングス,サービス業,497.0,92.37918,3.944288,1.81,,36.5,484.9,452.4,63.9,中立,0,,,
6579,ログリー,サービス業,352.0,,0.5334255,,3.32,13.4,345.8,337.7,53.4,中立,0,,,
6580,ライトアップ,サービス業,790.0,15.687053,1.230158,2.41,8.05,39.3,822.4,929.3,41.7,中立,0,,,
6584,三櫻工業,輸送用機器,779.0,18.299273,0.5811069,3.59,4.32,278.9,882.0,866.4,37.2,中立,0,,,
6586,マキタ,機械,5895.0,19.646727,1.5274186,3.55,8.2,15188.8,5737.1,5651.9,56.9,中立,1,,,2026-07-29
6588,東芝テック,電気機器,3100.0,,1.7461493,1.29,-2.84,1642.6,2969.5,2995.9,54.7,中立,1,,,2026-07-28
6590,芝浦メカトロニクス,電気機器,4105.0,24.079071,4.8468833,1.56,21.71,2694.5,5178.8,5011.9,35.8,中立,0,,,
6592,マブチモーター,電気機器,1684.0,15.916823,1.2237731,3.33,8.93,4063.4,1613.2,1570.2,61.9,中立,0,,,
6594,ニデック,電気機器,2567.0,24.477924,1.672451,1.56,6.31,29425.8,2612.7,2597.2,46.9,中立,0,,,
6597,ＨＰＣシステムズ,電気機器,3050.0,24.189072,3.9869492,1.05,21.17,118.0,3929.7,3803.4,31.1,中立,0,,,
6599,エブレン,電気機器,2887.0,11.949009,0.85368,2.01,7.36,43.6,3048.4,3289.5,41.0,中立,0,,,
6612,バルミューダ,電気機器,608.0,,2.0493531,,-48.07,51.8,604.5,593.7,50.4,中立,0,,,
6613,ＱＤレーザ,電気機器,1243.0,,10.606979,,-7.06,520.1,2292.7,2169.4,24.9,売られすぎ,0,,,
6614,シキノハイテック,電気機器,817.0,,1.5659951,1.84,-4.58,35.9,891.2,884.2,40.4,中立,1,,,2026-07-24
6615,ユー・エム・シー・エレクトロニクス,電気機器,230.0,27.090696,0.37837723,4.35,1.82,64.7,229.1,254.5,47.7,中立,0,,,
6616,トレックス・セミコンダクター,電気機器,1650.0,15.091924,0.93157023,3.39,6.41,174.8,2146.0,2260.6,26.9,売られすぎ,0,,,
6617,東光高岳,電気機器,6650.0,16.163923,1.5715122,2.02,10.31,1050.7,7648.4,7395.5,35.4,中立,0,,,
6619,ダブル・スコープ,電気機器,141.0,,0.21224199,,-27.15,85.1,170.8,225.9,26.2,売られすぎ,0,,,
6620,宮越ホールディングス,不動産業,636.0,,1.0380944,,-7.64,254.5,747.5,680.2,40.2,中立,0,,,
6622,ダイヘン,電気機器,11900.0,20.126509,1.8238194,1.76,9.66,2809.2,15867.2,15820.9,29.0,売られすぎ,0,,,
6625,ＪＡＬＣＯホールディングス,不動産業,336.0,20.600859,1.9601552,5.36,9.47,371.5,339.6,348.5,44.7,中立,0,,,
6626,ＳＥＭＩＴＥＣ,電気機器,1954.0,7.0717673,0.7860867,5.27,11.43,187.5,2018.8,2145.0,37.0,中立,0,,,
6627,テラプローブ,電気機器,8750.0,23.651844,3.6062784,1.26,7.16,796.0,12013.2,11263.2,33.4,中立,1,,,2026-07-29
6629,テクノホライゾン,電気機器,892.0,4.8828554,0.96666837,3.7,28.03,120.2,1003.4,1063.2,37.2,中立,3,,,2026-07-24
6630,ヤーマン,電気機器,769.0,,1.7450819,1.17,,423.1,735.7,720.9,65.4,中立,0,,,
6632,ＪＶＣケンウッド,電気機器,1139.0,10.200608,1.1191893,1.76,12.07,1619.5,1124.8,1150.1,52.6,中立,0,,,
6633,ＣＧＳホールディングス,電気機器,328.0,11.811307,0.95187795,3.05,8.81,31.2,331.1,334.6,42.7,中立,0,,,
6634,ＪＮグループ,電気機器,69.0,,1.2837925,,-33.91,31.9,71.8,77.3,45.8,中立,1,,,2026-07-29
6635,大日光・エンジニアリング,電気機器,613.0,19.509867,0.55963385,2.61,4.55,40.7,685.6,686.1,35.6,デッドクロス,0,,,
6637,寺崎電気産業,電気機器,3710.0,11.351814,0.820594,1.51,7.84,455.0,3701.4,3699.8,48.1,ゴールデンクロス,1,,,2026-07-28
6638,ミマキエンジニアリング,電気機器,2062.0,8.847507,1.4969027,2.67,18.68,597.2,2009.6,1815.2,52.6,中立,1,,,2026-07-24
6643,戸上電機製作所,電気機器,4925.0,8.740638,0.94571424,2.64,11.49,228.3,5327.8,5578.5,36.6,中立,0,,,
6644,大崎電気工業,電気機器,1442.0,11.344504,1.1194644,2.77,10.16,631.7,1490.8,1662.7,41.1,中立,1,,,2026-07-28
6645,オムロン,電気機器,5172.0,29.802929,1.2166355,2.01,3.82,10169.7,5671.4,5600.0,39.4,中立,0,,,
6647,森尾電機,電気機器,2662.0,5.4652214,0.58143103,2.25,11.55,35.2,2733.5,2730.2,39.0,ゴールデンクロス,0,,,
6648,かわでん,電気機器,1607.0,8.777104,3.2685788,4.11,1.11,257.4,1813.1,1899.5,31.3,中立,0,,,
6651,日東工業,電気機器,4215.0,13.91135,1.2925372,3.65,9.52,1599.0,4541.4,4586.7,34.8,中立,0,,,
6652,ＩＤＥＣ,電気機器,3245.0,24.720041,1.3713461,4.01,5.79,960.2,3291.2,3311.6,47.0,中立,0,,,
6653,正興電機製作所,電気機器,2011.0,10.801375,1.3874544,2.98,13.85,272.0,2279.8,2382.4,33.5,中立,2,,,2026-07-24
6654,不二電機工業,電気機器,1107.0,25.016949,0.548793,2.89,2.1,57.5,1117.2,1094.7,47.8,中立,0,,,
6656,インスペック,電気機器,864.0,45.141068,2.9607599,,-56.28,34.7,1182.3,973.0,29.9,売られすぎ,0,,,
6658,シライ電子工業,電気機器,432.0,4.938836,0.5909696,4.63,12.48,64.8,447.4,516.3,37.7,中立,0,,,
6659,メディアリンクス,電気機器,43.0,,1.2759644,,-58.6,33.8,56.7,53.9,33.7,中立,1,,,2026-07-28
6662,ユビテック,電気機器,214.0,,2.1215847,,-20.23,31.7,216.2,218.2,45.2,中立,0,,,
6663,太洋テクノレックス,電気機器,293.0,12.822757,0.653726,1.02,6.01,17.5,308.4,322.1,39.8,中立,1,,,2026-07-29
6664,オプトエレクトロニクス,電気機器,241.0,,0.47590837,,-7.42,36.2,240.7,255.7,47.1,中立,0,,,
6666,リバーエレテック,電気機器,643.0,,1.1539179,1.56,-0.26,52.9,823.4,970.0,34.3,中立,0,,,
6668,アドテック　プラズマ　テクノロジー,電気機器,2525.0,13.162696,1.4744757,1.43,13.47,215.6,3545.9,3152.0,33.6,中立,0,,,
6674,ジーエス・ユアサ　コーポレーション,電気機器,5178.0,16.48992,1.3161972,1.89,11.38,5194.5,6216.2,6426.7,30.6,中立,0,,,
6675,サクサ,電気機器,2022.0,25.620882,1.0765414,2.27,4.33,353.7,1953.6,2018.5,57.1,中立,1,,,2026-07-24
6676,ＢＵＦＦＡＬＯ,電気機器,2694.0,8.423752,1.4836804,2.23,18.34,638.7,2599.9,2530.4,55.4,中立,1,,,2026-07-24
6677,エスケーエレクトロニクス,電気機器,3305.0,11.808209,0.96521854,4.6,8.52,343.6,3434.6,3362.6,44.0,中立,0,,,
6678,テクノメディカ,電気機器,2038.0,13.132289,0.959636,4.56,7.43,135.9,2025.5,2087.1,49.8,中立,1,,,2026-07-24
6694,ズーム,電気機器,640.0,,0.5023126,5.0,-18.99,27.7,636.5,641.3,53.1,中立,0,,,
6696,トラース・オン・プロダクト,電気機器,279.0,,4.372424,,,13.5,289.2,320.1,45.7,中立,0,,,
6699,ダイヤモンドエレクトリックホールディングス,電気機器,480.0,5.1004143,0.37556657,5.21,1.87,52.5,478.0,496.3,50.2,中立,2,,,2026-07-27
